CountryName,CityName,Latitude,Longitude
Luhanska,48.5717084,39.2973153,Ukraine,Ukraine
Tshovani,-21.0336221,31.6841214,Zimbabwe,Zimbabwe
Port-de-Paix,19.9389855,-72.8308129,Haiti,Haiti
Sekong,15.8660419,106.9637782,Lao People's Democratic Republic,Lao People's Democratic Republic
Baidoa,3.1549999499999997,43.584009230208295,Somalia,Somalia
Beyla,8.909431999999999,-8.367475476673686,Guinea,Guinea
Kicukiro,-1.9854367,30.1036335,Rwanda,Rwanda
Diré,16.2678091,-3.3971368,Mali,Mali
Masbate,12.166667,123.583333,Philippines,Philippines
Sibiti,-3.6328012000000003,13.300506319333357,Congo,Congo
Pasar Pelita,1.14257955,104.018449,Indonesia,Indonesia
Negele,5.3328174,39.5806628,Ethiopia,Ethiopia
Robe,-37.186199200000004,139.9955285127801,Ethiopia,Ethiopia
Custom,33.55377715,-101.8361043,Nigeria,Nigeria
Misamis Oriental,8.6534807,124.8235205,Philippines,Philippines
Tite,11.780287,-15.399514,Guinea-Bissau,Guinea-Bissau
Gode,5.9526975,43.5522312,Ethiopia,Ethiopia
Dodoma Region,-6.0102878,35.8245033,United Republic of Tanzania,United Republic of Tanzania
Pweto,-8.4741061,28.8987099,Democratic Republic of the Congo,Democratic Republic of the Congo
Sehoue,6.9258324,2.2711315,Benin,Benin
Kampong Pranak,13.8084596,104.9778677,Cambodia,Cambodia
Ouenzé,-4.2487587,15.2859088,Congo,Congo
Ruhuha,-3.215417,29.0717219,Rwanda,Rwanda
Huye,-2.6053426,29.7401547,Rwanda,Rwanda
Jhansi,25.530130800000002,78.65242146225927,Bassas da India,Bassas da India
Bat Doeng,11.68362675,104.70232135,Cambodia,Cambodia
Komo,-12.2045176,44.2832964,Guinea-Bissau,Guinea-Bissau
Dakhla,23.6940663,-15.9431274,Algeria,Algeria
Pasar Banyuwangi,-8.21046015,114.37525714050402,Indonesia,Indonesia
Sofia (Region),-15.28151885,48.17108395847933,Madagascar,Madagascar
Bintagoungou,16.7375895,-3.7310448,Mali,Mali
Kassala,16.0431989,36.0181112,Sudan,Sudan
Ndjoko Punda,-5.4508953,20.9693846,Democratic Republic of the Congo,Democratic Republic of the Congo
Buthidaung,20.8747257,92.5280099,Myanmar,Myanmar
Tripoli,32.896672,13.1777923,Lebanon,Lebanon
Bissau-Bairro Militar,11.8737998,-15.6155744,Guinea-Bissau,Guinea-Bissau
Klouékanmè,7.07500005,1.8244247611931035,Benin,Benin
Al Midan,14.4732884,43.9021387,Syrian Arab Republic,Syrian Arab Republic
Jariiban,7.2128199,48.8498632,Somalia,Somalia
Danane,7.2597966,-8.1526273,Cote d'Ivoire,Cote d'Ivoire
Swakopmund,-22.6767841,14.5313988,Namibia,Namibia
Zaporizhia,47.4165079,35.922969,Ukraine,Ukraine
Natitingou,10.251408300000001,1.383540986380074,Benin,Benin
Harar,9.3118397,42.1284445,Ethiopia,Ethiopia
Selibaby,15.1579884,-12.1847821,Mauritania,Mauritania
Krakor,12.5287279,104.2100448,Cambodia,Cambodia
Thi-Qar,24.7872925,46.6575193,Iraq,Iraq
Sambalpur,21.4706422,83.98368580351055,Bassas da India,Bassas da India
Izmir,38.4224548,27.1310699,Turkey,Turkey
Kharagpur,25.133173050000003,86.52504036339789,Bassas da India,Bassas da India
Karaan,-5.5996685,132.7250046,Somalia,Somalia
Sahibganj,25.28142795,87.62096351851952,Bassas da India,Bassas da India
Lubombo,-26.55452,31.86191156647494,Swaziland,Swaziland
Cuamba,-14.74863315,36.59745599721113,Mozambique,Mozambique
Bokhtar,37.8357217,68.7820957,Tajikistan,Tajikistan
Gangtok,27.325756900000002,88.69827694810172,Bassas da India,Bassas da India
Kirovograd,48.5105805,32.2656283,Ukraine,Ukraine
Puducherry,10.91564885,79.80694879844232,Bassas da India,Bassas da India
Martadi,29.44958065,81.52393996264868,Nepal,Nepal
Pobè,6.9820238,2.666791,Benin,Benin
Mechara,8.5997665,40.3244752,Ethiopia,Ethiopia
Salima,-13.762898400000001,34.452369976445496,Malawi,Malawi
Uruzgan,32.8129681,66.0183185,Afghanistan,Afghanistan
Marula,-34.6380663,-58.4035857,Zimbabwe,Zimbabwe
Yabelo,7.5165464,38.4896048,Ethiopia,Ethiopia
Borama,9.9386691,43.184119,Somalia,Somalia
Makaha,21.4665875,-158.21607146723647,Zimbabwe,Zimbabwe
Sekota,12.625697,39.035441,Ethiopia,Ethiopia
Pasar Sagulung,1.0477565,103.95130602562438,Indonesia,Indonesia
Siquijor,9.18,123.58,Philippines,Philippines
Tanguiéta,10.965512,1.420338250811944,Benin,Benin
Gabu,12.11703505,-14.176250577969586,Guinea-Bissau,Guinea-Bissau
Aioun,16.6597742,-9.6178808,Mauritania,Mauritania
Aru,39.7779175,43.168437098021585,Democratic Republic of the Congo,Democratic Republic of the Congo
Pasar Pahing,-7.6522546,109.07953797696467,Indonesia,Indonesia
Banikoara,11.32625415,2.473040680223342,Benin,Benin
Mafeteng,-29.7893049,27.4423193,Lesotho,Lesotho
Khorog,37.4903687,71.5493236,Tajikistan,Tajikistan
Kyein Ni Pyin,20.091869,93.013031,Myanmar,Myanmar
Norton,39.7944702,-99.9100033,Zimbabwe,Zimbabwe
Kamwesha,-6.2079749,21.4190966,Democratic Republic of the Congo,Democratic Republic of the Congo
Mukarange,-1.4872142,30.078226359078613,Rwanda,Rwanda
Kunduz,36.8707187,68.7563528,Afghanistan,Afghanistan
Lay Yin Kwin,15.7996814,94.8141215,Myanmar,Myanmar
Boke,11.3406898,-13.9440724,Guinea,Guinea
Hirat,34.3508273,62.2164003,Afghanistan,Afghanistan
Muyinga,-2.7106551,30.3601342,Burundi,Burundi
Bazha,29.1764723,89.1413674,Zimbabwe,Zimbabwe
Ramanathapuram,9.3895523,78.85907071521498,Bassas da India,Bassas da India
Kérou,10.97211505,1.9983427684018518,Benin,Benin
Ijevan,40.8779943,45.1437542,Armenia,Armenia
Pasar Rawa Indah,-4.1951563499999995,102.59572364041375,Indonesia,Indonesia
Kamako,-7.2836938,20.8703633,Democratic Republic of the Congo,Democratic Republic of the Congo
Dwangwa,-12.506334,34.1096334,Malawi,Malawi
Pasar Seroja,-6.3043925,106.8122222,Indonesia,Indonesia
Lira,2.2456918,32.896244,Uganda,Uganda
Farah,32.607111,62.671011,Afghanistan,Afghanistan
Pasar Terapung,-3.3195127,114.5934888,Indonesia,Indonesia
Kivuruga,-1.5959515,29.7555888,Rwanda,Rwanda
Kivyuka,-3.02774475,29.45092086395804,Burundi,Burundi
Korhogo,9.4574719,-5.6342471,Cote d'Ivoire,Cote d'Ivoire
Mogaung Market,19.322482,95.1844468,Myanmar,Myanmar
Muhanga,-2.0437078,29.718070301947087,Rwanda,Rwanda
Khagaria,25.4916868,86.69910848212217,Bassas da India,Bassas da India
Péhunco,10.2308948,2.0004282,Benin,Benin
Bulawayo,-20.1053948,28.5426856,Zimbabwe,Zimbabwe
Rusaka,-15.4164488,28.2821535,Burundi,Burundi
Bor,49.7113567,12.7753178,South Sudan,South Sudan
Rohtas (sasaram),24.9001003,84.0182110684575,Bassas da India,Bassas da India
Ohn Taw Gyi,20.19755,92.785683,Myanmar,Myanmar
Haute Matsiatra (Region),-21.46906375,46.4663496472585,Madagascar,Madagascar
Dharamshala,32.2143039,76.3196717,Bassas da India,Bassas da India
Muhanga,-2.0437078,29.718070301947087,Rwanda,Rwanda
Munger,25.22081165,86.51720367235285,Bassas da India,Bassas da India
Ouadane,20.9337256,-11.6173738,Mauritania,Mauritania
Beula,45.9248246,5.9858054F,Zimbabwe,Zimbabwe
Tokmok,42.8373462,75.2953881,Kyrgyzstan,Kyrgyzstan
Pasar Anom,-6.2842635,106.8295641,Indonesia,Indonesia
Dibida (Kankan),10.3740303,-9.296243474622111,Guinea,Guinea
Uvurkhangai,45.8297039,102.7237769,Mongolia,Mongolia
Osh,40.5361899,72.8033618,Kyrgyzstan,Kyrgyzstan
Kambia,9.1246846,-12.9189134,Sierra Leone,Sierra Leone
Bvumbwe,-15.9428201,35.026691,Malawi,Malawi
Agra,27.1752554,78.0098161,Bassas da India,Bassas da India
Kamina,-8.7351826,25.0032201,Democratic Republic of the Congo,Democratic Republic of the Congo
Bilaspur-hp,31.3380959,76.7611631,Bassas da India,Bassas da India
Pasar Besar (Kota Malang),-7.9864086,112.6332628,Indonesia,Indonesia
Rwagitima,-1.6655303,30.4542337,Rwanda,Rwanda
Rajkot,22.3053263,70.8028377,Bassas da India,Bassas da India
Gaseke,-1.7590685,30.1245486,Rwanda,Rwanda
Alaba,42.844072249999996,-2.6820829322126283,Ethiopia,Ethiopia
Chilumba,-10.4339594,34.2556,Malawi,Malawi
Pasar Pagar Dewa,-3.8395147,102.32032616906505,Indonesia,Indonesia
Quirino,16.283333,121.583333,Philippines,Philippines
Akkar,67.8627942,19.4340146,Lebanon,Lebanon
Kigufi,-1.8062109,29.561505,Rwanda,Rwanda
Abi Adi,13.8587688,39.4835723,Ethiopia,Ethiopia
Muse,46.062608,11.114737310036357,Myanmar,Myanmar
Baglung,28.356335299999998,83.14253600515775,Nepal,Nepal
Sai Law,55.93239925,-3.540513840458015,Myanmar,Myanmar
Cruzamento,-20.3109726,-40.322451,Guinea-Bissau,Guinea-Bissau
Mohale's Hoek,-30.0696842,27.8038609,Lesotho,Lesotho
Hombori,15.2831164,-1.6990741,Mali,Mali
Kidapawan,7.0095784,125.0905037,Philippines,Philippines
Maxixe,-23.86996285,35.310326824828735,Mozambique,Mozambique
Bukirasazi,-3.3296932,29.3692229,Burundi,Burundi
Liwang,28.19476925,82.96145999419483,Nepal,Nepal
Nhambane,11.529108149999999,-15.986323639748417,Guinea-Bissau,Guinea-Bissau
Savalou,7.9297324,1.9780951,Benin,Benin
Iganga,0.7221911000000001,33.5016935166769,Uganda,Uganda
Ouando,5.960786,25.9588643,Benin,Benin
Bouca,40.836137,-6.7963394,Central African Republic,Central African Republic
Kaga-Bandoro,6.9993145,19.182305,Central African Republic,Central African Republic
Saran,25.90835495,84.78074760594323,Bassas da India,Bassas da India
Wellingara,13.55640565,-14.924340182410106,Gambia,Gambia
Kep,10.402153949999999,104.26506181616313,Cambodia,Cambodia
Haldwani,29.2144809,79.5279012,Bassas da India,Bassas da India
Laukkaing,23.6476085,98.7338866404925,Myanmar,Myanmar
Azovè,6.9382465,1.7221108,Benin,Benin
Largu,44.9768843,27.1443398,Democratic Republic of the Congo,Democratic Republic of the Congo
Agusan del Sur,8.36,125.71,Philippines,Philippines
Kotido,2.9951839,34.034212772268965,Uganda,Uganda
Waingmaw,25.3537725,97.4440251,Myanmar,Myanmar
Bimbo,4.3325548,18.5250512,Central African Republic,Central African Republic
Harem,36.2095065,36.5206804,Syrian Arab Republic,Syrian Arab Republic
Filabusi,-20.535687,29.284797,Zimbabwe,Zimbabwe
Mansoa,12.06661,-15.316344,Guinea-Bissau,Guinea-Bissau
Djougou,9.7106683,1.6651614,Benin,Benin
Bataan,14.6436031,120.4657622,Philippines,Philippines
Pasar Lemabang,-2.97243025,104.78300988418607,Indonesia,Indonesia
Romblon,12.5886411,122.1933517,Philippines,Philippines
Ramci,50.3010779,14.4839203,Myanmar,Myanmar
Kankossa,15.9367211,-11.5191388,Mauritania,Mauritania
Mihigo,-2.8496427,29.7444955,Burundi,Burundi
Lower Ban Wai,22.2804347,114.15601601894576,Myanmar,Myanmar
Managua,12.1544035,-86.2737642,Nicaragua,Nicaragua
Occidental Mindoro,13.0000021,120.9166666,Philippines,Philippines
Eyl,7.98751735,49.687348631397825,Somalia,Somalia
Chimbiya,-14.290761400000001,34.161374417545716,Malawi,Malawi
Batiment,43.23788305,5.375989074874209,Rwanda,Rwanda
Karnal,29.6803266,76.9896254,Bassas da India,Bassas da India
Gambela,7.8102647,34.1822172,Ethiopia,Ethiopia
Mangalsen,29.09536125,81.20406498425649,Nepal,Nepal
Ah Nauk Ywe,20.1063747,92.9858887,Myanmar,Myanmar
Bipongo,3.2476475,32.8840885,Democratic Republic of the Congo,Democratic Republic of the Congo
Ndago,-3.8882958,29.6623077,Rwanda,Rwanda
Kigoma Region,-4.5126571,30.0050533,United Republic of Tanzania,United Republic of Tanzania
Momauk,24.2493952,97.3459136,Myanmar,Myanmar
Mbizo 4,-18.9024903,29.8456907,Zimbabwe,Zimbabwe
Charati,9.466667,5.433333,Ethiopia,Ethiopia
Manthali,27.40927195,86.0528812513445,Nepal,Nepal
Bareilly,28.416667,79.383333,Bassas da India,Bassas da India
Kemise,8.4667,36.16397,Ethiopia,Ethiopia
Giwa,11.3,7.45,Nigeria,Nigeria
Matimba,-9.814265,39.5753354,Rwanda,Rwanda
Bambari,5.7680014,20.6755705,Central African Republic,Central African Republic
Kibra (Nairobi),-1.3106636,36.7730221,Kenya,Kenya
Nikki,9.899685,3.178025421161518,Benin,Benin
Koronadal,6.5004067,124.8435427,Philippines,Philippines
Pasar Remu,-0.8884138500000001,131.28522933980042,Indonesia,Indonesia
Legazpi,43.051235,-2.3344403,Philippines,Philippines
Koura,10.7338878,-7.3849163,Lebanon,Lebanon
Ouesse,8.4919261,2.4258417,Benin,Benin
Yambio,4.5680716,28.39767,South Sudan,South Sudan
Bula,45.544479,9.1151877,Guinea-Bissau,Guinea-Bissau
Nangarhar,34.220389,70.3800314,Afghanistan,Afghanistan
Menaka,43.3627405,-2.8023477,Mali,Mali
Sareyamou,16.09,-3.236,Mali,Mali
Madhubani,26.350071999999997,86.22914688962271,Bassas da India,Bassas da India
Baoro,5.694576,15.953318,Central African Republic,Central African Republic
Mupandawana,-19.63855325,31.171718783728075,Zimbabwe,Zimbabwe
Mingalar market,21.9758283,96.09611100000001,Myanmar,Myanmar
Kasenyi,0.0789763,32.52181009041155,Democratic Republic of the Congo,Democratic Republic of the Congo
Jarash,32.261194200000006,35.87252632749171,Jordan,Jordan
Man Pan,20.41158,104.34613,Myanmar,Myanmar
Tacloban,11.2430274,125.0081402,Philippines,Philippines
Mhandamabwe,-20.116721249999998,30.37109762893364,Zimbabwe,Zimbabwe
Beirut,33.88922645,35.50255852895232,Lebanon,Lebanon
Buea,4.1567995,9.2315519,Cameroon,Cameroon
Koundara,12.485154,-13.298509,Guinea,Guinea
Mayaka,6.91603,3.5099365,Malawi,Malawi
Wang Leng,22.3768614,114.1316575,Myanmar,Myanmar
Manyamula,-11.9383718,33.4410581,Malawi,Malawi
Gamgadhi,29.548027,82.154404,Nepal,Nepal
Al Tabqah,35.8323648,38.5414697,Syrian Arab Republic,Syrian Arab Republic
Techiman,7.584971,-1.936401,Ghana,Ghana
Pasar Rogojampi,-8.3064093,114.2950455,Indonesia,Indonesia
Yaoundé-Mfoundi,3.8689867,11.5213344,Cameroon,Cameroon
Msallata,32.616667,14.0,Libya,Libya
Bedessa,8.9032186,40.7764864,Ethiopia,Ethiopia
Baalbeck,17.979774,-77.5882173,Lebanon,Lebanon
Rashaya,33.5014243,35.8448806,Lebanon,Lebanon
Azowlissè,6.6662285,2.4926623,Benin,Benin
Nepalgunj,28.0653558,81.64970639954868,Nepal,Nepal
Cosse,46.9805481,-2.2719755,Guinea-Bissau,Guinea-Bissau
Mikalou,-4.2011473,15.2692812,Congo,Congo
Contuboel,12.3755089,-14.5603502,Guinea-Bissau,Guinea-Bissau
Mkanda,-13.5182022,32.9553215,Malawi,Malawi
Ludhiana,30.9090157,75.851601,Bassas da India,Bassas da India
Nur-Sultan,51.1282205,71.4306682,Kazakhstan,Kazakhstan
Sodo,43.2811262,11.9748263,Ethiopia,Ethiopia
Rovieng,12.3187189,103.5512049,Cambodia,Cambodia
Jammu,32.7185614,74.8580917,Bassas da India,Bassas da India
Jagdalpur,19.0870758,82.0235715,Bassas da India,Bassas da India
As-Sweida,32.77055,36.877633454255,Syrian Arab Republic,Syrian Arab Republic
Butha Buthe,-28.8029541,28.5638395,Lesotho,Lesotho
Vinnitsa,49.2392809,28.5110617,Ukraine,Ukraine
Honai,37.6393074,139.0147116,Myanmar,Myanmar
Ould Yenge,15.5435752,-11.7128739,Mauritania,Mauritania
Lviv,49.841952,24.0315921,Ukraine,Ukraine
Shadaw,19.631742,97.520729,Myanmar,Myanmar
Pasar Talang Banjar Jambi,-1.5961116,103.6223938,Indonesia,Indonesia
Pasar Cisalak,-6.3777539,106.86762231232666,Indonesia,Indonesia
Ban Wai,23.067367,99.2799763,Myanmar,Myanmar
Vanadzor,40.8111917,44.4851995,Armenia,Armenia
Nagpur,21.1498134,79.0820556,Bassas da India,Bassas da India
Nazareth,32.7066301,35.3048161,Ethiopia,Ethiopia
Kisweh,33.3584186,36.2411074,Syrian Arab Republic,Syrian Arab Republic
Mukenke,-2.5841537,30.332728308788056,Burundi,Burundi
Gaalkacyo,6.769726,47.430826,Somalia,Somalia
Lahore,31.5656822,74.3141829,Pakistan,Pakistan
Gaza North,52.0078959,8.529906534108816,State of Palestine,State of Palestine
Owino,53.9137474,27.5804967,Uganda,Uganda
Namwera,-14.3639217,35.5054899,Malawi,Malawi
Gatabo,-2.9120756,29.8781324,Burundi,Burundi
Santa Cruz,28.469648,-16.2540884,Philippines,Philippines
Tajoura,32.8834447,13.3525476,Libya,Libya
Aleppo,36.19924,37.1637253,Syrian Arab Republic,Syrian Arab Republic
Nyiragongo,-1.5214482,29.2499483,Democratic Republic of the Congo,Democratic Republic of the Congo
Pasar Aek Habil,1.7273958,98.7986076,Indonesia,Indonesia
Thrissur,10.5256264,76.2132542,Bassas da India,Bassas da India
Marinduque,13.416667,121.95,Philippines,Philippines
Saen Monourom,12.4568561,107.1865184,Cambodia,Cambodia
Zezani,-21.6091279,29.4989574,Zimbabwe,Zimbabwe
Bindura,-17.2989727,31.3299701,Zimbabwe,Zimbabwe
Central Market (PST),33.8929746,48.7529024,Cambodia,Cambodia
Jericho,31.855991,35.4598851,State of Palestine,State of Palestine
Pusat Pasar,3.5904475,98.6857544,Indonesia,Indonesia
Eastern Samar,11.73,125.37,Philippines,Philippines
Nyika Growth Point,-20.0099648,31.6032388,Zimbabwe,Zimbabwe
Mangochi,-14.140600599999999,35.32634099117331,Malawi,Malawi
Mukuru (Nairobi),-1.3124035,36.8462294,Kenya,Kenya
Chbar Ampov,11.5228263,104.9667447,Cambodia,Cambodia
Luanda,-8.8272699,13.2439512,Angola,Angola
Khame,28.5017072,82.6296593,Zimbabwe,Zimbabwe
Biratnagar,26.4623007,87.281617,Nepal,Nepal
El Obeid,13.183366,30.222559,Sudan,Sudan
Tirupathi,13.6268832,79.38665196771328,Bassas da India,Bassas da India
Katiola,8.0912137,-5.150708249056292,Cote d'Ivoire,Cote d'Ivoire
Pasar Peterongan,-7.0036076,110.4332346,Indonesia,Indonesia
Pasar Panorama,-3.8160842500000003,102.29988074787283,Indonesia,Indonesia
Davao del Norte,7.6179228,125.6832687,Philippines,Philippines
Meti,35.672176,139.7509058483356,Ethiopia,Ethiopia
Biyorwa,-3.4721693,30.1121603,Burundi,Burundi
Tshikapa,-6.4230495,20.7887691,Democratic Republic of the Congo,Democratic Republic of the Congo
Brikamaba,13.5334916,-14.9238729,Gambia,Gambia
Magway,20.2747958,94.7362245,Myanmar,Myanmar
Samaki,6.4725681,14.1480383,Cambodia,Cambodia
Surat,45.9383,3.2553,Bassas da India,Bassas da India
Gitega,-3.5382336,29.910701,Burundi,Burundi
Puerto Princesa,9.7376025,118.7350414,Philippines,Philippines
Pirada,12.663468,-14.15473,Guinea-Bissau,Guinea-Bissau
Muyange,-2.4971174,30.0455398,Burundi,Burundi
Karenge,-2.0820708,30.319688171938992,Rwanda,Rwanda
Nyala,3.3328697,30.8935785,Sudan,Sudan
Kalinga,17.46,121.31,Philippines,Philippines
Thae Chaung,17.6558893,95.9072113,Myanmar,Myanmar
Galmi,13.965611,5.675413,Niger,Niger
Logar,34.0653595,69.160172,Afghanistan,Afghanistan
Kamuzu Road,-13.7695244,34.4389041,Malawi,Malawi
Koro,-17.6666667,179.8333333,Mali,Mali
Talbiseh,34.8446968,36.7308332,Syrian Arab Republic,Syrian Arab Republic
Dnipropetrovsk,48.662589,34.9501715,Ukraine,Ukraine
Pasar Aksara,3.59886385,98.70906445658271,Indonesia,Indonesia
Leyte,10.95,124.85,Philippines,Philippines
Makpandu,4.7531958,28.700927241747358,South Sudan,South Sudan
Arta,11.3861664,42.5742801,Djibouti,Djibouti
Kumba,4.6026770500000005,9.414413491436562,Cameroon,Cameroon
Mweso,-1.1274261,29.0425934,Democratic Republic of the Congo,Democratic Republic of the Congo
Mbale,0.9766007,34.20220583097499,Uganda,Uganda
Patna,25.6093239,85.1235252,Bassas da India,Bassas da India
Nhamatanda,-19.30541685,34.24575475268132,Mozambique,Mozambique
Santo Domingo,18.4801972,-69.942111,Dominican Republic,Dominican Republic
Pasar Warung Jambu 2,-6.5706766000000005,106.80720980511136,Indonesia,Indonesia
Cobly,10.479186200000001,0.936429736261758,Benin,Benin
Hrazdan,40.51856635,44.75388726989313,Armenia,Armenia
Sizinda Shopping Centre,-20.175929250000003,28.541180871635774,Zimbabwe,Zimbabwe
Rudrapur,28.974744,79.3963951,Bassas da India,Bassas da India
Kalobeyei (Village 1),3.7687083,34.6232794,Kenya,Kenya
Inn Din,20.5093,92.586922,Myanmar,Myanmar
Pasar Ulee Kareng,5.550991,95.35678778876787,Indonesia,Indonesia
Mangalore,12.8698101,74.8430082,Bassas da India,Bassas da India
Duekoue,6.71397265,-7.425218155057541,Cote d'Ivoire,Cote d'Ivoire
Pasar Lakessi,-4.0040797,119.62734367880952,Indonesia,Indonesia
Rumphi,-10.790932649999998,33.85071177603609,Malawi,Malawi
Dharwad,15.4540505,75.0066516,Bassas da India,Bassas da India
Mwene-Ditu,-7.006496,23.4487976,Democratic Republic of the Congo,Democratic Republic of the Congo
Istanbul,41.0091982,28.9662187,Turkey,Turkey
Nampula,-14.966969,39.2707752,Mozambique,Mozambique
Melaky (Region),-17.75414815,44.979005166593346,Madagascar,Madagascar
Una,31.583333,76.25,Bassas da India,Bassas da India
Manyara Region,-4.072751,35.8521735,United Republic of Tanzania,United Republic of Tanzania
Vellore,12.7948109,79.0006410968549,Bassas da India,Bassas da India
Chaek,41.9313324,74.53226956445468,Kyrgyzstan,Kyrgyzstan
Lamin,13.3873524,-16.6438923,Gambia,Gambia
Camarines Norte,14.166667,122.75,Philippines,Philippines
Dangha,16.4650858,-3.1361951,Mali,Mali
Nkayi,-4.1841822,13.287783423858283,Congo,Congo
Ain Zara,32.7952137,13.2869321,Libya,Libya
